id,name,subject,teacher_id,code,description,created_at
d07b0400-e5c5-4396-ae84-a6f5a6c795d2,"Demo Accounting Section 001",Accounting,44154033-5719-4cb1-8f24-3f0f9acaf0b2,DCL0001,"Synthetic class generated for school presentation data.",2024-01-15
39ec9ef9-16a4-49ed-82e0-45ff9109b66f,"Demo Biology Section 002",Biology,0c04aefd-e3c2-4260-8d14-8fe3141e0244,DCL0002,"Synthetic class generated for school presentation data.",2024-01-17
2892f195-4729-4809-9a5a-bbc6ef2d9597,"Demo Business Section 003",Business,06e5e44d-d984-4c9c-aea4-485f3ddc1650,DCL0003,"Synthetic class generated for school presentation data.",2024-01-19
5846881f-7d7f-4c37-9575-ded0a35590bd,"Demo Chemistry Section 004",Chemistry,4d8e621f-9cf5-43b5-af64-13e8b303a72f,DCL0004,"Synthetic class generated for school presentation data.",2024-01-21
13d0ef3d-4e42-4ab7-906b-6b61a61986c2,"Demo Civil Engineering Section 005","Civil Engineering",85c5949e-233a-45c7-a837-c5790ed146f5,DCL0005,"Synthetic class generated for school presentation data.",2024-01-23
312fb9e6-ac67-4eb5-840c-c10eb56d9c71,"Demo Computer Science Section 006","Computer Science",bd2d223c-8e46-43be-9efa-e10a5bfa3eef,DCL0006,"Synthetic class generated for school presentation data.",2024-01-25
53a3824a-a683-4ec1-9d2b-04c762b8980d,"Demo Economics Section 007",Economics,1cb05fe0-b865-4b18-a162-e6b61388f716,DCL0007,"Synthetic class generated for school presentation data.",2024-01-27
a33207b1-6b2c-4d16-bb00-78ecc4180c7e,"Demo Engineering Section 008",Engineering,6610878f-ed49-4f72-bad9-de53a8c6d8c7,DCL0008,"Synthetic class generated for school presentation data.",2024-01-29
7036dc85-7049-4b20-9190-3a62a38a357a,"Demo History Section 009",History,61c267c7-cbb9-40ee-bd32-1c091d59f8f6,DCL0009,"Synthetic class generated for school presentation data.",2024-01-31
dbda42cb-a804-49a7-bbed-8abf5d084027,"Demo Information Technology Section 010","Information Technology",dda049b3-4147-41ff-bbb8-a3cd336b07f4,DCL0010,"Synthetic class generated for school presentation data.",2024-02-02
baa91f6f-6280-417f-8076-6dc52df4297b,"Demo Literature Section 011",Literature,7fba43e4-d415-44be-8eee-2b06e0db3499,DCL0011,"Synthetic class generated for school presentation data.",2024-02-04
a252a843-f90e-4a82-bdf5-382f085e6b53,"Demo Marketing Section 012",Marketing,593babd2-2b43-4b9c-83e5-af65490a448e,DCL0012,"Synthetic class generated for school presentation data.",2024-02-06
364648f6-c4f8-4237-87c1-85a8250c65f6,"Demo Mathematics Section 013",Mathematics,41e48eac-fde9-480a-bbd6-ff7c6b914434,DCL0013,"Synthetic class generated for school presentation data.",2024-02-08
92532b48-51ca-4789-8b5a-2ea22b55c3b9,"Demo Mechanical Engineering Section 014","Mechanical Engineering",1ee4a7c6-7108-4aad-90ad-7dff8413e6f7,DCL0014,"Synthetic class generated for school presentation data.",2024-02-10
c4a70300-149a-4922-bd62-d4aa5366bbf1,"Demo Physics Section 015",Physics,62d50f50-ffe8-4baf-8e30-77f6d2a2aaac,DCL0015,"Synthetic class generated for school presentation data.",2024-02-12
2c1aa018-0963-49e9-b7be-d984f16c3627,"Demo Political Science Section 016","Political Science",6a397c8a-08a4-44d2-870f-aafd5ce00cc0,DCL0016,"Synthetic class generated for school presentation data.",2024-02-14
8e9bc22e-0a9e-4cf3-9bd8-8908a46e40b0,"Demo Psychology Section 017",Psychology,218bedae-2734-4661-a5fd-9802f0ab85d9,DCL0017,"Synthetic class generated for school presentation data.",2024-02-16
d85afde6-863f-406d-9fac-5b6418bbe58e,"Demo Accounting Section 018",Accounting,470dec3e-8359-4c0c-be31-43f136f38980,DCL0018,"Synthetic class generated for school presentation data.",2024-02-18
c7f22768-e5fe-4d11-9ec3-c2c0d29d7290,"Demo Biology Section 019",Biology,8ca8df9c-d395-4226-a267-17e37abb45b2,DCL0019,"Synthetic class generated for school presentation data.",2024-02-20
ba73de45-8928-494a-a408-5b15c882bdeb,"Demo Business Section 020",Business,91567770-031a-4f4f-83c4-82d1be543d8e,DCL0020,"Synthetic class generated for school presentation data.",2024-02-22
64f334a4-06f2-49e8-90f9-edc3d71e42be,"Demo Chemistry Section 021",Chemistry,335d4e6b-c581-4754-aee2-69ff5e2f6e64,DCL0021,"Synthetic class generated for school presentation data.",2024-02-24
e8a0777a-a7f8-45a1-a8b1-d95a0dfd0177,"Demo Civil Engineering Section 022","Civil Engineering",6f8e63e0-a9b9-4fe9-b641-5435333fb365,DCL0022,"Synthetic class generated for school presentation data.",2024-02-26
5f969b93-8476-48b0-9796-2c8b223dc289,"Demo Computer Science Section 023","Computer Science",4dde8c98-92c5-40c5-b277-9ef8a521bd9f,DCL0023,"Synthetic class generated for school presentation data.",2024-02-28
9bf705dc-5e04-432e-af26-5c0b39781598,"Demo Economics Section 024",Economics,a45bd0df-f6d8-4bb9-ac91-78a853f92dd2,DCL0024,"Synthetic class generated for school presentation data.",2024-03-01
649467a7-e381-461b-bfbf-cb50ed110f98,"Demo Engineering Section 025",Engineering,7b7186da-1b68-4845-9259-3512fd561a4b,DCL0025,"Synthetic class generated for school presentation data.",2024-03-03
eb374a1d-2603-4596-852b-ce74935c799e,"Demo History Section 026",History,47fb6a09-15b7-457c-a6f0-69f6c3eee65b,DCL0026,"Synthetic class generated for school presentation data.",2024-03-05
f214f980-f1cc-472e-81fe-6e67947cee1c,"Demo Information Technology Section 027","Information Technology",8b947a83-a5ec-47be-a249-52a618432055,DCL0027,"Synthetic class generated for school presentation data.",2024-03-07
2e93c391-0f47-4c93-914a-c54bce21c8e8,"Demo Literature Section 028",Literature,2917969a-49fb-4662-aad6-bd28c48fb764,DCL0028,"Synthetic class generated for school presentation data.",2024-03-09
2f2dd0a9-2690-4f86-b515-1caa4295c448,"Demo Marketing Section 029",Marketing,faba37f1-e7ec-4329-997c-4667273e1e8f,DCL0029,"Synthetic class generated for school presentation data.",2024-03-11
9552849d-2e6d-44bc-a81c-612d6e18ffd7,"Demo Mathematics Section 030",Mathematics,11aa94ce-e6be-4d71-a5bf-91c1c27c98f6,DCL0030,"Synthetic class generated for school presentation data.",2024-03-13
f978db87-240e-42d9-b825-61563dd30955,"Demo Mechanical Engineering Section 031","Mechanical Engineering",a1f6b503-368b-45cc-a640-3ec0d3785e77,DCL0031,"Synthetic class generated for school presentation data.",2024-03-15
eb43af58-f236-46c7-b309-115be1962f06,"Demo Physics Section 032",Physics,12b07478-dbe4-45cf-be46-f57118d8dbbc,DCL0032,"Synthetic class generated for school presentation data.",2024-03-17
f341b8ce-1aa6-46e0-9c7a-37974b1ef7e2,"Demo Political Science Section 033","Political Science",b2918768-0918-4a4c-ad75-87e5936c37d2,DCL0033,"Synthetic class generated for school presentation data.",2024-03-19
18d607d1-3106-43ee-b98b-bb713522db79,"Demo Psychology Section 034",Psychology,12207d5a-ece9-4f66-94c9-74d1480f4a6a,DCL0034,"Synthetic class generated for school presentation data.",2024-03-21
1da2e8e8-96f2-4305-a07e-7c008f005df7,"Demo Accounting Section 035",Accounting,c5a023b1-1e79-4181-87e7-5e2e50892241,DCL0035,"Synthetic class generated for school presentation data.",2024-03-23
5cadb293-0cda-4539-ac89-377219e4169f,"Demo Biology Section 036",Biology,24144705-3075-4a3c-bf11-d506bd744402,DCL0036,"Synthetic class generated for school presentation data.",2024-03-25
f7b94c90-136e-48a2-9219-ce9978c260de,"Demo Business Section 037",Business,ff8c0bed-dcd9-4577-8bcd-5a93525e2369,DCL0037,"Synthetic class generated for school presentation data.",2024-03-27
ff81aac8-92b5-4efe-b55a-872e1ee902b8,"Demo Chemistry Section 038",Chemistry,981a8720-9942-4e09-bb97-2a35ee724203,DCL0038,"Synthetic class generated for school presentation data.",2024-03-29
