exam_id,student_id,violation_no,violation_type,details,occurred_at
1aa46c8b-153c-449b-acf8-d4d8407b0953,3a5674e0-a1be-4280-8b22-a1a264f917ed,1,right_click,"Synthetic right_click event #1 for presentation scenario.","2026-08-26 10:07:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,3a5674e0-a1be-4280-8b22-a1a264f917ed,2,auto_submitted,"Synthetic auto_submitted event #2 for presentation scenario.","2026-08-26 10:14:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,aae31381-53e3-4422-ad72-6ab7e89cbbca,1,auto_submitted,"Synthetic auto_submitted event #1 for presentation scenario.","2026-08-27 11:07:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,aae31381-53e3-4422-ad72-6ab7e89cbbca,2,tab_switch,"Synthetic tab_switch event #2 for presentation scenario.","2026-08-27 11:14:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,aae31381-53e3-4422-ad72-6ab7e89cbbca,3,window_blur,"Synthetic window_blur event #3 for presentation scenario.","2026-08-27 11:21:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,f1c2a36c-fee9-4475-861a-3fbc53dd950a,1,tab_switch,"Synthetic tab_switch event #1 for presentation scenario.","2026-08-28 12:07:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,382fc32d-b300-41c1-a73a-6c6bf1a18360,1,window_blur,"Synthetic window_blur event #1 for presentation scenario.","2026-08-29 13:07:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,382fc32d-b300-41c1-a73a-6c6bf1a18360,2,right_click,"Synthetic right_click event #2 for presentation scenario.","2026-08-29 13:14:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,e49e894b-b553-4c77-8a62-9227780a2a93,1,right_click,"Synthetic right_click event #1 for presentation scenario.","2026-08-30 14:07:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,e49e894b-b553-4c77-8a62-9227780a2a93,2,auto_submitted,"Synthetic auto_submitted event #2 for presentation scenario.","2026-08-30 14:14:00"
1aa46c8b-153c-449b-acf8-d4d8407b0953,e49e894b-b553-4c77-8a62-9227780a2a93,3,tab_switch,"Synthetic tab_switch event #3 for presentation scenario.","2026-08-30 14:21:00"
2e5e367e-a8ce-4305-85b8-3f5eb1e8ac85,9220534a-1785-43f4-94f4-bf7d47e94c58,1,tab_switch,"Synthetic tab_switch event #1 for presentation scenario.","2026-08-28 10:07:00"
